group,subjectid,block,trial,latency,accuracy,task,tasksequence
BI_C_Digit,9.0,1.0,1,1031.0,1.0,2.0,0.0
BI_C_Digit,9.0,1.0,2,1271.0,1.0,1.0,0.0
BI_C_Digit,9.0,1.0,3,611.0,1.0,2.0,ABA
BI_C_Digit,9.0,1.0,4,1399.0,1.0,3.0,CBA
BI_C_Digit,9.0,1.0,5,615.0,1.0,2.0,ABA
BI_C_Digit,9.0,1.0,6,401.0,1.0,1.0,CBA
BI_C_Digit,9.0,1.0,7,963.0,1.0,2.0,ABA
BI_C_Digit,9.0,1.0,8,584.0,1.0,3.0,CBA
BI_C_Digit,9.0,1.0,9,775.0,1.0,1.0,CBA
BI_C_Digit,9.0,1.0,10,641.0,1.0,2.0,CBA
BI_C_Digit,9.0,1.0,11,868.0,1.0,3.0,CBA
BI_C_Digit,9.0,1.0,12,437.0,1.0,1.0,CBA
BI_C_Digit,9.0,1.0,13,1306.0,1.0,3.0,ABA
BI_C_Digit,9.0,1.0,14,616.0,1.0,2.0,CBA
BI_C_Digit,9.0,1.0,15,565.0,1.0,1.0,CBA
BI_C_Digit,9.0,1.0,16,1052.0,1.0,3.0,CBA
BI_C_Digit,9.0,1.0,17,1519.0,1.0,1.0,ABA
BI_C_Digit,9.0,1.0,18,1033.0,1.0,3.0,ABA
BI_C_Digit,9.0,1.0,19,580.0,1.0,1.0,ABA
BI_C_Digit,9.0,1.0,20,1311.0,1.0,3.0,ABA
BI_C_Digit,9.0,1.0,21,1105.0,1.0,1.0,ABA
BI_C_Digit,9.0,1.0,22,1034.0,1.0,3.0,ABA
BI_C_Digit,9.0,1.0,23,460.0,1.0,2.0,CBA
BI_C_Digit,9.0,1.0,24,482.0,1.0,1.0,CBA
BI_C_Digit,9.0,1.0,25,379.0,1.0,2.0,ABA
BI_C_Digit,9.0,1.0,26,786.0,1.0,3.0,CBA
BI_C_Digit,9.0,1.0,27,531.0,1.0,2.0,ABA
BI_C_Digit,9.0,1.0,28,647.0,1.0,1.0,CBA
BI_C_Digit,9.0,1.0,29,709.0,1.0,3.0,CBA
BI_C_Digit,9.0,1.0,30,816.0,1.0,1.0,ABA
BI_C_Digit,9.0,1.0,31,804.0,1.0,3.0,ABA
BI_C_Digit,9.0,1.0,32,529.0,1.0,2.0,CBA
BI_C_Digit,9.0,1.0,33,718.0,1.0,1.0,CBA
BI_C_Digit,9.0,1.0,34,1249.0,1.0,2.0,ABA
BI_C_Digit,9.0,1.0,35,1341.0,1.0,3.0,CBA
BI_C_Digit,9.0,1.0,36,960.0,1.0,1.0,CBA
BI_C_Digit,9.0,1.0,37,470.0,1.0,2.0,CBA
BI_C_Digit,9.0,1.0,38,505.0,0.0,1.0,ABA
BI_C_Digit,9.0,1.0,39,935.0,1.0,3.0,CBA
BI_C_Digit,9.0,1.0,40,433.0,1.0,1.0,ABA
BI_C_Digit,9.0,1.0,41,2026.0,1.0,3.0,ABA
BI_C_Digit,9.0,1.0,42,920.0,1.0,1.0,ABA
BI_C_Digit,9.0,1.0,43,866.0,1.0,3.0,ABA
BI_C_Digit,9.0,1.0,44,444.0,1.0,1.0,ABA
BI_C_Digit,9.0,1.0,45,464.0,1.0,2.0,CBA
BI_C_Digit,9.0,1.0,46,713.0,1.0,1.0,ABA
BI_C_Digit,9.0,1.0,47,537.0,1.0,2.0,ABA
BI_C_Digit,9.0,1.0,48,1328.0,1.0,3.0,CBA
BI_C_Digit,9.0,1.0,49,1219.0,1.0,2.0,ABA
BI_C_Digit,9.0,1.0,50,709.0,1.0,3.0,ABA
BI_C_Digit,9.0,1.0,51,475.0,0.0,1.0,CBA
BI_C_Digit,9.0,1.0,52,813.0,1.0,3.0,ABA
BI_C_Digit,9.0,1.0,53,662.0,1.0,2.0,CBA
BI_C_Digit,9.0,1.0,54,588.0,1.0,1.0,CBA
BI_C_Digit,9.0,1.0,55,948.0,1.0,2.0,ABA
BI_C_Digit,9.0,1.0,56,874.0,1.0,1.0,ABA
BI_C_Digit,9.0,1.0,57,1219.0,0.0,3.0,CBA
BI_C_Digit,9.0,1.0,58,566.0,1.0,1.0,ABA
BI_C_Digit,9.0,1.0,59,1540.0,1.0,2.0,CBA
BI_C_Digit,9.0,1.0,60,1413.0,1.0,3.0,CBA
BI_C_Digit,9.0,1.0,61,1472.0,1.0,1.0,CBA
BI_C_Digit,9.0,1.0,62,1911.0,1.0,3.0,ABA
BI_C_Digit,9.0,1.0,63,896.0,1.0,1.0,ABA
BI_C_Digit,9.0,1.0,64,1133.0,1.0,2.0,CBA
BI_C_Digit,9.0,1.0,65,1063.0,1.0,3.0,CBA
BI_C_Digit,9.0,1.0,66,1350.0,1.0,1.0,CBA
BI_C_Digit,9.0,1.0,67,1980.0,1.0,3.0,ABA
BI_C_Digit,9.0,1.0,68,970.0,1.0,2.0,CBA
BI_C_Digit,9.0,1.0,69,601.0,1.0,1.0,CBA
BI_C_Digit,9.0,1.0,70,1875.0,1.0,3.0,CBA
BI_C_Digit,9.0,1.0,71,2435.0,1.0,1.0,ABA
BI_C_Digit,9.0,1.0,72,667.0,1.0,2.0,CBA
BI_C_Digit,9.0,1.0,73,565.0,1.0,1.0,ABA
BI_C_Digit,9.0,1.0,74,1155.0,0.0,2.0,ABA
BI_C_Digit,9.0,1.0,75,1113.0,1.0,3.0,CBA
BI_C_Digit,9.0,1.0,76,812.0,1.0,1.0,CBA
BI_C_Digit,9.0,1.0,77,2214.0,1.0,2.0,CBA
BI_C_Digit,9.0,1.0,78,720.0,1.0,1.0,ABA
BI_C_Digit,9.0,1.0,79,1458.0,1.0,3.0,CBA
BI_C_Digit,9.0,1.0,80,1360.0,1.0,2.0,CBA
BI_C_Digit,9.0,1.0,81,791.0,1.0,3.0,ABA
BI_C_Digit,9.0,1.0,82,570.0,1.0,2.0,ABA
BI_C_Digit,9.0,1.0,83,673.0,1.0,3.0,ABA
BI_C_Digit,9.0,1.0,84,1366.0,1.0,2.0,ABA
BI_C_Digit,9.0,1.0,85,1811.0,1.0,1.0,CBA
BI_C_Digit,9.0,1.0,86,1077.0,1.0,2.0,ABA
BI_C_Digit,9.0,1.0,87,968.0,1.0,3.0,CBA
BI_C_Digit,9.0,1.0,88,769.0,1.0,1.0,CBA
BI_C_Digit,9.0,1.0,89,1900.0,1.0,3.0,ABA
BI_C_Digit,9.0,1.0,90,1027.0,1.0,1.0,ABA
BI_C_Digit,9.0,1.0,91,2303.0,1.0,3.0,ABA
BI_C_Digit,9.0,1.0,92,834.0,1.0,1.0,ABA
BI_C_Digit,9.0,1.0,93,831.0,1.0,2.0,CBA
BI_C_Digit,9.0,1.0,94,1080.0,1.0,1.0,ABA
BI_C_Digit,9.0,1.0,95,1459.0,1.0,2.0,ABA
BI_C_Digit,9.0,1.0,96,1786.0,1.0,3.0,CBA
BI_C_Digit,9.0,1.0,97,1546.0,1.0,2.0,ABA
BI_C_Digit,9.0,1.0,98,737.0,0.0,3.0,ABA
BI_C_Digit,9.0,1.0,99,1368.0,1.0,2.0,ABA
BI_C_Digit,9.0,1.0,100,795.0,1.0,3.0,ABA
BI_C_Digit,9.0,1.0,101,755.0,1.0,2.0,ABA
BI_C_Digit,9.0,1.0,102,583.0,1.0,1.0,CBA
BI_C_Digit,9.0,1.0,103,1828.0,1.0,3.0,CBA
