subjectid,block,blocktype,trial,latency1,accuracy1,latency2,accuracy2,SOA,taskpair,RT1_SOAdif,T1,T2,T1T2sequence,S1,S2,R1beforeS1onset,R2beforeS2onset
1,1,1,1,2634,1,2026,1,1000,1,1634.0,1,2,2,E,9,0,0
1,1,1,2,1926,1,1422,1,1000,2,926.0,2,2,1,9,8,0,0
1,1,1,3,804,1,668,1,2000,3,-1196.0,1,1,1,U,A,0,0
1,1,1,4,1720,1,1996,1,50,4,1570.0,2,1,2,7,A,0,0
1,1,1,5,512,1,632,1,450,1,62.0,1,2,2,A,4,0,0
1,1,1,6,1002,1,993,1,450,4,552.0,2,1,2,3,K,0,0
1,1,1,7,670,1,898,1,50,3,520.0,1,1,1,R,A,0,0
1,1,1,8,587,1,586,1,2000,2,-1413.0,2,2,1,2,4,0,0
1,1,1,9,626,1,522,1,2000,1,-1374.0,1,2,2,K,2,0,0
1,1,1,10,514,1,500,1,450,3,64.0,1,1,1,I,M,0,0
1,1,1,11,482,1,578,1,2000,4,-1518.0,2,1,2,4,I,0,0
1,1,1,12,489,1,748,1,450,2,39.0,2,2,1,3,1,0,0
1,1,1,13,623,1,742,1,50,1,473.0,1,2,2,K,6,0,0
1,1,1,14,417,1,602,1,50,2,267.0,2,2,1,8,1,0,0
1,1,1,15,489,1,504,1,1000,4,-511.0,2,1,2,7,U,0,0
1,1,1,16,540,0,475,1,1000,3,-460.0,1,1,1,E,G,0,0
1,1,1,17,448,1,463,1,2000,4,-1552.0,2,1,2,2,E,0,0
1,1,1,18,476,1,622,1,50,3,326.0,1,1,1,K,R,0,0
1,1,1,19,588,1,587,1,1000,2,-412.0,2,2,1,6,7,0,0
1,1,1,20,3338,1,2582,1,1000,1,2338.0,1,2,2,A,8,0,0
1,1,1,21,585,1,559,1,450,2,135.0,2,2,1,1,4,0,0
1,1,1,22,582,1,433,1,450,1,132.0,1,2,2,A,2,0,0
1,1,1,23,625,1,544,1,2000,3,-1375.0,1,1,1,U,M,0,0
1,1,1,24,722,1,458,1,1000,4,-278.0,2,1,2,2,U,0,0
1,2,2,1,656,1,679,1,50,2,506.0,2,2,1,6,8,0,0
1,2,2,2,589,1,659,1,50,1,439.0,1,2,2,E,2,0,0
1,2,2,3,515,1,554,1,2000,2,-1485.0,2,2,1,8,9,0,0
1,2,2,4,588,1,507,1,1000,3,-412.0,1,1,1,A,R,0,0
1,2,2,5,638,1,606,1,2000,1,-1362.0,1,2,2,A,6,0,0
1,2,2,6,1260,1,629,1,1000,1,260.0,1,2,2,I,7,0,0
1,2,2,7,553,1,661,1,50,4,403.0,2,1,2,6,A,0,0
1,2,2,8,470,1,511,1,450,2,20.0,2,2,1,6,1,0,0
1,2,2,9,478,1,461,1,1000,2,-522.0,2,2,1,7,2,0,0
1,2,2,10,466,1,454,1,450,4,16.0,2,1,2,4,E,0,0
1,2,2,11,587,1,555,1,450,3,137.0,1,1,1,R,G,0,0
1,2,2,12,601,1,496,1,1000,4,-399.0,2,1,2,8,R,0,0
1,2,2,13,507,1,667,1,50,4,357.0,2,1,2,7,I,0,0
1,2,2,14,584,1,446,1,450,1,134.0,1,2,2,I,4,0,0
1,2,2,15,539,1,650,1,1000,3,-461.0,1,1,1,A,G,0,0
1,2,2,16,623,1,439,1,2000,2,-1377.0,2,2,1,7,9,0,0
1,2,2,17,579,1,668,1,450,4,129.0,2,1,2,4,A,0,0
1,2,2,18,460,1,1040,1,50,1,310.0,1,2,2,U,4,0,0
1,2,2,19,708,1,539,1,2000,1,-1292.0,1,2,2,E,6,0,0
1,2,2,20,596,1,698,1,50,2,446.0,2,2,1,9,2,0,0
1,2,2,21,537,1,536,1,1000,1,-463.0,1,2,2,K,8,0,0
1,2,2,22,433,1,554,1,50,1,283.0,1,2,2,R,6,0,0
1,2,2,23,395,1,496,1,450,3,-55.0,1,1,1,R,U,0,0
1,2,2,24,484,1,716,1,2000,4,-1516.0,2,1,2,9,K,0,0
1,2,2,25,606,1,445,1,2000,3,-1394.0,1,1,1,M,U,0,0
1,2,2,26,427,1,597,1,50,3,277.0,1,1,1,K,U,0,0
1,2,2,27,507,1,522,1,2000,1,-1493.0,1,2,2,U,1,0,0
