participant_id,trial,task,block_condition,task_transition,distractor_transition,distractor_type_prev,congruent,within_task_distractor,correct_response,accuracy,rt_ms,valid_rt
3780,1,1,single,0,0,,0,0,linken,1,902.18,1
3780,2,1,single,1,2,0,1,1,rechten,1,500.96000000002095,1
3780,3,2,single,2,1,1,0,1,linken,0,546.2399999999907,1
3780,4,2,single,1,1,1,1,1,rechten,1,511.9400000000023,1
3780,5,1,single,2,1,1,1,1,rechten,1,433.0999999999767,1
3780,6,1,single,1,2,1,0,0,linken,1,545.9400000000023,1
3780,7,2,single,2,2,0,0,1,rechten,1,587.7999999999884,1
3780,8,1,single,2,1,1,1,1,rechten,1,395.68,1
3780,9,2,single,2,1,1,1,1,rechten,1,509.53999999997905,1
3780,10,1,single,2,2,1,0,0,linken,1,742.0800000000163,1
3780,11,2,single,2,2,0,0,1,linken,1,804.04,1
3780,12,2,single,1,1,1,1,1,rechten,1,707.2399999999907,1
3780,13,2,single,1,1,1,1,1,rechten,1,553.4400000000023,1
3780,14,2,single,1,1,1,0,1,rechten,1,813.5999999999767,1
3780,15,2,single,1,1,1,1,1,rechten,1,512.04,1
3780,16,1,single,2,1,1,1,1,linken,1,494.28000000002794,1
3780,17,2,single,2,1,1,0,1,rechten,1,884.4799999999814,1
3780,18,2,single,1,2,1,1,0,linken,1,1344.359999999986,1
3780,19,1,single,2,1,0,1,0,linken,1,712.0599999999977,1
3780,20,2,single,2,1,0,1,0,rechten,1,509.64000000001397,1
3780,21,1,single,2,1,0,0,0,rechten,0,711.82,1
3780,22,1,single,1,2,0,1,1,rechten,1,556.9400000000023,1
3780,23,1,single,1,1,1,0,1,linken,1,677.04,1
3780,24,1,single,1,1,1,0,1,linken,1,604.64,1
3780,25,1,single,1,1,1,1,1,linken,1,720.7800000000279,1
3780,26,2,single,2,2,1,1,0,rechten,1,533.5999999999767,1
3780,27,1,single,2,1,0,0,0,rechten,1,624.5599999999977,1
3780,28,1,single,1,1,0,0,0,linken,1,740.04,1
3780,29,1,single,1,1,0,1,0,linken,1,646.8400000000256,1
3780,30,2,single,2,1,0,1,0,rechten,1,1230.140000000014,1
3780,31,2,single,1,1,0,1,0,rechten,1,697.96,1
3780,32,2,single,1,1,0,0,0,linken,1,1233.7000000000116,1
3780,33,2,single,1,1,0,0,0,rechten,1,794.6199999999953,1
3780,34,2,single,1,2,0,0,1,linken,1,869.4199999999837,1
3780,35,1,single,2,1,1,1,1,rechten,1,550.5999999999767,1
3780,36,1,single,1,2,1,0,0,linken,1,763.82,1
3780,37,2,single,2,1,0,0,0,linken,1,638.0599999999977,1
3780,38,1,single,2,1,0,0,0,linken,1,785.8800000000047,1
3780,39,1,single,1,1,0,1,0,rechten,1,515.0200000000186,1
3780,40,2,single,2,2,0,1,1,linken,1,810.5800000000163,1
3780,41,1,single,2,2,1,0,0,rechten,1,539.7399999999907,1
3780,42,1,single,1,2,0,1,1,linken,1,862.9799999999814,1
3780,43,1,single,1,1,1,1,1,rechten,1,682.46,1
3780,44,2,single,2,1,1,0,1,rechten,1,905.36,1
3780,45,1,single,2,2,1,0,0,rechten,0,551.5,1
3780,46,2,single,2,1,0,1,0,rechten,0,763.9200000000419,1
3780,47,2,single,1,1,0,0,0,linken,1,948.1600000000326,1
3780,48,1,single,2,1,0,0,0,linken,1,1075.3399999999674,1
3780,49,2,single,2,1,0,0,0,linken,1,897.9399999999441,1
3780,50,1,single,2,2,0,0,1,linken,1,1450.0400000000373,1
3780,51,2,single,2,2,1,0,0,rechten,1,719.2199999999721,1
3780,52,2,single,1,2,0,1,1,linken,1,655.6600000000326,1
3780,53,1,single,2,1,1,0,1,linken,0,489.1800000000512,1
3780,54,2,single,2,1,1,0,1,linken,1,729.2600000000093,1
3780,55,2,single,1,1,1,1,1,linken,1,628.8199999999488,1
3780,56,2,single,1,2,1,1,0,rechten,1,760.4000000000233,1
3780,57,2,single,1,1,0,0,0,linken,1,648.8000000000466,1
3780,58,1,single,2,2,0,0,1,rechten,1,842.0200000000186,1
3780,59,2,single,2,2,1,0,0,rechten,1,507.85999999998603,1
3780,60,2,single,1,1,0,1,0,linken,1,801.4200000000419,1
3780,61,2,single,1,1,0,1,0,rechten,1,501.2399999999907,1
3780,62,1,single,2,2,0,1,1,linken,1,596.1199999999953,1
3780,63,2,single,2,2,1,0,0,rechten,1,448.3199999999488,1
3780,64,2,single,1,2,0,0,1,rechten,1,512.2399999999907,1
3780,65,2,single,1,1,1,1,1,linken,1,511.45999999996275,1
3780,66,2,single,1,1,1,0,1,linken,1,525.9599999999627,1
3780,67,1,single,2,2,1,1,0,linken,1,445.5,1
3780,68,2,single,2,1,0,1,0,linken,1,588.3000000000466,1
3780,69,2,single,1,2,0,1,1,linken,1,550.1800000000512,1
3780,70,2,single,1,2,1,1,0,linken,0,452.4200000000419,1
3780,71,1,single,2,2,0,0,1,rechten,1,594.4399999999441,1
3780,72,1,single,1,2,1,1,0,rechten,1,556.5799999999581,1
3780,73,1,single,1,1,0,1,0,linken,1,442.85999999998603,1
3780,74,1,single,1,1,0,0,0,linken,1,460.78000000002794,1
3780,75,1,single,1,1,0,1,0,linken,1,572.2399999999907,1
3780,76,1,single,1,2,0,0,1,rechten,1,582.0799999999581,1
3780,77,1,single,1,2,1,1,0,rechten,1,449.0200000000186,1
3780,78,2,single,2,1,0,0,0,linken,0,467.19999999995343,1
3780,79,1,single,2,1,0,1,0,rechten,1,592.5600000000559,1
3780,80,2,single,2,1,0,1,0,rechten,1,648.4399999999441,1
3780,81,2,single,1,1,0,0,0,linken,1,778.6199999999953,1
3780,82,1,single,2,1,0,1,0,linken,1,807.4599999999627,1
3780,83,2,single,2,1,0,1,0,linken,0,474.69999999995343,1
3780,84,2,single,1,2,0,0,1,rechten,1,538.0200000000186,1
3780,85,2,single,1,2,1,1,0,linken,1,613.8800000000047,1
3780,86,2,single,1,2,0,0,1,rechten,0,557.4799999999814,1
3780,87,1,single,2,1,1,0,1,linken,0,584.4599999999627,1
3780,88,1,single,1,1,1,1,1,linken,1,702.14,1
3780,89,2,single,2,2,1,1,0,linken,0,1002.3000000000466,1
3780,90,2,single,1,1,0,0,0,rechten,1,702.6600000000326,1
3780,91,2,single,1,1,0,0,0,linken,1,734.8399999999674,1
3780,92,1,single,2,1,0,1,0,rechten,1,673.7600000000093,1
3780,93,2,single,2,2,0,1,1,linken,1,567.1800000000512,1
3780,94,2,single,1,1,1,0,1,rechten,1,609.7800000000279,1
3780,95,2,single,1,1,1,0,1,linken,1,741.3399999999674,1
3780,96,1,single,2,1,1,0,1,linken,1,1507.0999999999767,1
3780,97,1,single,1,2,1,1,0,linken,1,459.28000000002794,1
3780,98,1,single,1,1,0,0,0,rechten,1,601.4599999999627,1
3780,99,2,single,2,1,0,0,0,rechten,1,561.64,1
3780,100,1,single,2,2,0,1,1,linken,1,542.86,1
3780,101,2,single,2,1,1,0,1,linken,1,866.0600000000559,1
3780,102,1,single,2,2,1,0,0,rechten,1,717.6199999999953,1
3780,103,1,single,1,2,0,0,1,rechten,1,530.14,1
3780,104,1,single,1,2,1,1,0,rechten,1,776.9399999999441,1
3780,105,2,single,2,1,0,0,0,rechten,0,665.5400000000373,1
3780,106,1,single,2,2,0,1,1,linken,1,866.8199999999488,1
3780,107,1,single,1,1,1,1,1,linken,1,596.6999999999534,1
3780,108,1,single,1,1,1,0,1,linken,1,558.9599999999627,1
3780,109,2,single,2,2,1,1,0,linken,1,898.14,1
3780,110,1,single,2,2,0,0,1,linken,1,621.2600000000093,1
3780,111,2,single,2,1,1,1,1,linken,0,1067.8800000000047,1
3780,112,1,single,2,1,1,0,1,rechten,1,592.0799999999581,1
3780,113,1,single,1,1,1,0,1,rechten,1,772.9599999999627,1
3780,114,1,single,1,2,1,0,0,rechten,1,567.5200000000186,1
3780,115,2,single,2,2,0,1,1,rechten,1,625.0600000000559,1
3780,116,1,single,2,2,1,1,0,linken,1,570.5999999999767,1
3780,117,2,single,2,2,0,1,1,rechten,1,580.0600000000559,1
3780,118,1,single,2,1,1,1,1,rechten,1,574.9200000000419,1
3780,119,2,single,2,1,1,1,1,linken,1,692.7800000000279,1
3780,120,2,single,1,2,1,0,0,rechten,1,632.6800000000512,1
3780,121,2,single,1,2,0,1,1,rechten,1,545.5200000000186,1
3780,122,1,single,2,1,1,0,1,rechten,1,635.7800000000279,1
3780,123,1,single,1,2,1,1,0,rechten,1,610.3199999999488,1
3780,124,1,single,1,2,0,0,1,rechten,1,618.4399999999441,1
3780,125,1,single,1,2,1,0,0,rechten,1,610.9599999999627,1
3780,126,2,single,2,2,0,0,1,linken,0,570.5200000000186,1
3780,127,1,single,2,1,1,1,1,rechten,1,502.9000000000233,1
3780,128,1,single,1,2,1,1,0,rechten,1,627.6999999999534,1
3780,1,2,single,0,0,0,0,0,linken,1,602.9000000000233,1
3780,2,2,single,1,2,0,1,1,rechten,1,736.1600000000326,1
3780,3,2,single,1,1,1,1,1,linken,1,563.36,1
3780,4,2,single,1,2,1,0,0,rechten,1,528.4599999999627,1
3780,5,2,single,1,2,0,1,1,rechten,1,572.4399999999441,1
3780,6,1,single,2,2,1,0,0,rechten,1,534.9399999999441,1
3780,7,1,single,1,2,0,0,1,linken,1,563.8399999999674,1
3780,8,2,single,2,1,1,0,1,rechten,0,525.36,1
3780,9,2,single,1,2,1,0,0,linken,1,538.0799999999581,1
3780,10,1,single,2,1,0,0,0,linken,1,706.9200000000419,1
3780,11,1,single,1,2,0,0,1,linken,1,616.1199999999953,1
3780,12,1,single,1,2,1,1,0,linken,1,513.6600000000326,1
3780,13,2,single,2,2,0,0,1,rechten,1,151.8399999999674,1
3780,14,1,single,2,1,1,0,1,linken,1,593.4399999999441,1
3780,15,2,single,2,2,1,1,0,linken,1,588.1999999999534,1
3780,16,2,single,1,2,0,0,1,rechten,1,582.0400000000373,1
3780,17,1,single,2,2,1,1,0,linken,1,589.9599999999627,1
3780,18,2,single,2,2,0,0,1,rechten,1,599.1199999999953,1
3780,19,2,single,1,1,1,0,1,rechten,1,623.3000000000466,1
3780,20,2,single,1,2,1,1,0,rechten,1,738.9000000000233,1
3780,21,1,single,2,1,0,0,0,rechten,0,1222.6800000000512,1
3780,22,2,single,2,1,0,1,0,rechten,1,583,1
3780,23,1,single,2,2,0,1,1,linken,1,732.9000000000233,1
3780,24,1,single,1,1,1,1,1,rechten,1,591.7800000000279,1
3780,25,1,single,1,1,1,0,1,linken,1,850.9599999999627,1
3780,26,2,single,2,1,1,1,1,linken,1,874.0799999999581,1
3780,27,2,single,1,2,1,1,0,rechten,1,943.6600000000326,1
3780,28,2,single,1,2,0,1,1,linken,1,885.5,1
3780,29,1,single,2,2,1,1,0,rechten,1,702.3800000000047,1
3780,30,2,single,2,1,0,0,0,rechten,1,704.5,1
3780,31,1,single,2,1,0,0,0,linken,1,612.7600000000093,1
3780,32,2,single,2,2,0,0,1,rechten,1,558.2399999999907,1
3780,33,2,single,1,1,1,0,1,linken,1,646.4799999999814,1
3780,34,2,single,1,1,1,1,1,linken,1,574.5999999999767,1
3780,35,2,single,1,2,1,1,0,linken,1,459.0999999999767,1
