rt,trial_index,subjectHandedness,subjectAge,subjectGender,key_press,correct_choice,coherent_movement_direction,coherence_movement,coherence_orientation,task,block,subject_id,accuracy,moving_up,moving_down,pointing_up,pointing_down
-1.0,2,r,34,f,-1.0,j,270.0,80.0,50.0,movement,0.0,1,0,20.0,80.0,50.0,50.0
1638.0,5,r,34,f,70.0,f,90.0,80.0,100.0,movement,0.0,1,1,80.0,20.0,100.0,0.0
899.0,8,r,34,f,74.0,j,270.0,100.0,100.0,movement,0.0,1,1,0.0,100.0,0.0,100.0
961.0,11,r,34,f,74.0,j,270.0,100.0,50.0,movement,0.0,1,1,0.0,100.0,50.0,50.0
1301.0,14,r,34,f,74.0,j,270.0,80.0,100.0,movement,0.0,1,1,20.0,80.0,0.0,100.0
828.0,17,r,34,f,70.0,f,90.0,100.0,100.0,movement,0.0,1,1,100.0,0.0,100.0,0.0
1368.0,20,r,34,f,70.0,f,90.0,80.0,50.0,movement,0.0,1,1,80.0,20.0,50.0,50.0
928.0,23,r,34,f,70.0,f,90.0,100.0,50.0,movement,0.0,1,1,100.0,0.0,50.0,50.0
738.99999999999,27,r,34,f,70.0,f,90.0,100.0,50.0,movement,0.0,1,1,100.0,0.0,50.0,50.0
1018.0,30,r,34,f,70.0,f,90.0,80.0,100.0,movement,0.0,1,1,80.0,20.0,100.0,0.0
867.0,33,r,34,f,74.0,j,270.0,80.0,50.0,movement,0.0,1,1,20.0,80.0,50.0,50.0
1058.0,36,r,34,f,70.0,f,90.0,80.0,50.0,movement,0.0,1,1,80.0,20.0,50.0,50.0
720.0,39,r,34,f,74.0,j,270.0,80.0,100.0,movement,0.0,1,1,20.0,80.0,0.0,100.0
768.0,42,r,34,f,74.0,j,270.0,100.0,50.0,movement,0.0,1,1,0.0,100.0,50.0,50.0
908.99999999999,45,r,34,f,74.0,j,270.0,100.0,100.0,movement,0.0,1,1,0.0,100.0,0.0,100.0
808.0,48,r,34,f,70.0,f,90.0,100.0,100.0,movement,0.0,1,1,100.0,0.0,100.0,0.0
1557.0,52,r,34,f,70.0,j,270.0,65.0,50.0,movement,1.0,1,0,35.0,65.0,50.0,50.0
-1.0,55,r,34,f,-1.0,j,270.0,30.0,23.076923076923077,movement,1.0,1,0,70.0,30.0,23.076923076923077,23.076923076923077
1060.0,58,r,34,f,74.0,j,270.0,65.0,50.0,movement,1.0,1,1,35.0,65.0,50.0,50.0
1326.0,61,r,34,f,74.0,j,270.0,65.0,50.0,movement,1.0,1,1,35.0,65.0,50.0,50.0
1465.0,64,r,34,f,70.0,f,90.0,30.0,23.076923076923077,movement,1.0,1,1,30.0,70.0,23.076923076923077,23.076923076923077
1085.0,67,r,34,f,70.0,f,90.0,30.0,23.076923076923077,movement,1.0,1,1,30.0,70.0,23.076923076923077,23.076923076923077
1067.0,70,r,34,f,70.0,f,90.0,30.0,23.076923076923077,movement,1.0,1,1,30.0,70.0,23.076923076923077,23.076923076923077
964.0,73,r,34,f,74.0,j,270.0,30.0,23.076923076923077,movement,1.0,1,1,70.0,30.0,23.076923076923077,23.076923076923077
954.0,76,r,34,f,70.0,f,90.0,30.0,23.076923076923077,movement,1.0,1,1,30.0,70.0,23.076923076923077,23.076923076923077
916.0,79,r,34,f,74.0,j,270.0,30.0,23.076923076923077,movement,1.0,1,1,70.0,30.0,23.076923076923077,23.076923076923077
904.99999999999,82,r,34,f,70.0,f,90.0,30.0,23.076923076923077,movement,1.0,1,1,30.0,70.0,23.076923076923077,23.076923076923077
959.0,85,r,34,f,74.0,f,90.0,65.0,50.0,movement,1.0,1,0,65.0,35.0,50.0,50.0
960.00000000001,88,r,34,f,70.0,f,90.0,65.0,50.0,movement,1.0,1,1,65.0,35.0,50.0,50.0
963.99999999999,91,r,34,f,70.0,j,270.0,65.0,50.0,movement,1.0,1,0,35.0,65.0,50.0,50.0
1324.0,94,r,34,f,74.0,f,90.0,65.0,50.0,movement,1.0,1,0,65.0,35.0,50.0,50.0
982.0,97,r,34,f,74.0,j,270.0,65.0,50.0,movement,1.0,1,1,35.0,65.0,50.0,50.0
910.0,100,r,34,f,70.0,f,90.0,65.0,50.0,movement,1.0,1,1,65.0,35.0,50.0,50.0
954.0,103,r,34,f,70.0,j,270.0,65.0,50.0,movement,1.0,1,0,35.0,65.0,50.0,50.0
1246.0,106,r,34,f,74.0,f,90.0,65.0,50.0,movement,1.0,1,0,65.0,35.0,50.0,50.0
