group,subjectid,block,trial,latency,accuracy,task,tasksequence,source,points,reward
BI_C2_Digit,49.0,1.0,1,1047.0,1.0,2.0,0.0,Raw_Data_III_Digit_Paradigm_2nd_Control_Group,,
BI_C2_Digit,49.0,1.0,2,684.0,1.0,1.0,0.0,Raw_Data_III_Digit_Paradigm_2nd_Control_Group,,
BI_C2_Digit,49.0,1.0,3,1007.0,1.0,2.0,ABA,Raw_Data_III_Digit_Paradigm_2nd_Control_Group,,
BI_C2_Digit,49.0,1.0,4,1174.0,1.0,3.0,CBA,Raw_Data_III_Digit_Paradigm_2nd_Control_Group,,
BI_C2_Digit,49.0,1.0,5,1494.0,1.0,2.0,ABA,Raw_Data_III_Digit_Paradigm_2nd_Control_Group,,
BI_C2_Digit,49.0,1.0,6,427.0,1.0,1.0,CBA,Raw_Data_III_Digit_Paradigm_2nd_Control_Group,,
BI_C2_Digit,49.0,1.0,7,497.0,1.0,2.0,ABA,Raw_Data_III_Digit_Paradigm_2nd_Control_Group,,
BI_C2_Digit,49.0,1.0,8,909.0,1.0,3.0,CBA,Raw_Data_III_Digit_Paradigm_2nd_Control_Group,,
BI_C2_Digit,49.0,1.0,9,417.0,1.0,1.0,CBA,Raw_Data_III_Digit_Paradigm_2nd_Control_Group,,
BI_C2_Digit,49.0,1.0,10,544.0,1.0,2.0,CBA,Raw_Data_III_Digit_Paradigm_2nd_Control_Group,,
BI_C2_Digit,49.0,1.0,11,1873.0,1.0,3.0,CBA,Raw_Data_III_Digit_Paradigm_2nd_Control_Group,,
BI_C2_Digit,49.0,1.0,12,575.0,1.0,1.0,CBA,Raw_Data_III_Digit_Paradigm_2nd_Control_Group,,
BI_C2_Digit,49.0,1.0,13,736.0,0.0,3.0,ABA,Raw_Data_III_Digit_Paradigm_2nd_Control_Group,,
BI_C2_Digit,49.0,1.0,14,1126.0,1.0,2.0,CBA,Raw_Data_III_Digit_Paradigm_2nd_Control_Group,,
BI_C2_Digit,49.0,1.0,15,585.0,1.0,1.0,CBA,Raw_Data_III_Digit_Paradigm_2nd_Control_Group,,
BI_C2_Digit,49.0,1.0,16,610.0,1.0,3.0,CBA,Raw_Data_III_Digit_Paradigm_2nd_Control_Group,,
BI_C2_Digit,49.0,1.0,17,642.0,1.0,1.0,ABA,Raw_Data_III_Digit_Paradigm_2nd_Control_Group,,
BI_C2_Digit,49.0,1.0,18,1415.0,1.0,3.0,ABA,Raw_Data_III_Digit_Paradigm_2nd_Control_Group,,
BI_C2_Digit,49.0,1.0,19,799.0,1.0,1.0,ABA,Raw_Data_III_Digit_Paradigm_2nd_Control_Group,,
BI_C2_Digit,49.0,1.0,20,1279.0,1.0,3.0,ABA,Raw_Data_III_Digit_Paradigm_2nd_Control_Group,,
BI_C2_Digit,49.0,1.0,21,556.0,1.0,1.0,ABA,Raw_Data_III_Digit_Paradigm_2nd_Control_Group,,
BI_C2_Digit,49.0,1.0,22,662.0,1.0,3.0,ABA,Raw_Data_III_Digit_Paradigm_2nd_Control_Group,,
BI_C2_Digit,49.0,1.0,23,779.0,1.0,2.0,CBA,Raw_Data_III_Digit_Paradigm_2nd_Control_Group,,
BI_C2_Digit,49.0,1.0,24,427.0,1.0,1.0,CBA,Raw_Data_III_Digit_Paradigm_2nd_Control_Group,,
BI_C2_Digit,49.0,1.0,25,602.0,1.0,2.0,ABA,Raw_Data_III_Digit_Paradigm_2nd_Control_Group,,
BI_C2_Digit,49.0,1.0,26,370.0,1.0,3.0,CBA,Raw_Data_III_Digit_Paradigm_2nd_Control_Group,,
BI_C2_Digit,49.0,1.0,27,603.0,1.0,2.0,ABA,Raw_Data_III_Digit_Paradigm_2nd_Control_Group,,
BI_C2_Digit,49.0,1.0,28,491.0,1.0,1.0,CBA,Raw_Data_III_Digit_Paradigm_2nd_Control_Group,,
BI_C2_Digit,49.0,1.0,29,599.0,1.0,3.0,CBA,Raw_Data_III_Digit_Paradigm_2nd_Control_Group,,
BI_C2_Digit,49.0,1.0,30,376.0,1.0,1.0,ABA,Raw_Data_III_Digit_Paradigm_2nd_Control_Group,,
BI_C2_Digit,49.0,1.0,31,1247.0,1.0,3.0,ABA,Raw_Data_III_Digit_Paradigm_2nd_Control_Group,,
BI_C2_Digit,49.0,1.0,32,782.0,1.0,2.0,CBA,Raw_Data_III_Digit_Paradigm_2nd_Control_Group,,
BI_C2_Digit,49.0,1.0,33,487.0,1.0,1.0,CBA,Raw_Data_III_Digit_Paradigm_2nd_Control_Group,,
BI_C2_Digit,49.0,1.0,34,987.0,1.0,2.0,ABA,Raw_Data_III_Digit_Paradigm_2nd_Control_Group,,
BI_C2_Digit,49.0,1.0,35,1204.0,0.0,3.0,CBA,Raw_Data_III_Digit_Paradigm_2nd_Control_Group,,
BI_C2_Digit,49.0,1.0,36,1200.0,1.0,1.0,CBA,Raw_Data_III_Digit_Paradigm_2nd_Control_Group,,
BI_C2_Digit,49.0,1.0,37,576.0,1.0,2.0,CBA,Raw_Data_III_Digit_Paradigm_2nd_Control_Group,,
BI_C2_Digit,49.0,1.0,38,417.0,1.0,1.0,ABA,Raw_Data_III_Digit_Paradigm_2nd_Control_Group,,
BI_C2_Digit,49.0,1.0,39,616.0,0.0,3.0,CBA,Raw_Data_III_Digit_Paradigm_2nd_Control_Group,,
BI_C2_Digit,49.0,1.0,40,2284.0,1.0,1.0,ABA,Raw_Data_III_Digit_Paradigm_2nd_Control_Group,,
BI_C2_Digit,49.0,1.0,41,898.0,1.0,3.0,ABA,Raw_Data_III_Digit_Paradigm_2nd_Control_Group,,
BI_C2_Digit,49.0,1.0,42,358.0,1.0,1.0,ABA,Raw_Data_III_Digit_Paradigm_2nd_Control_Group,,
BI_C2_Digit,49.0,1.0,43,439.0,1.0,3.0,ABA,Raw_Data_III_Digit_Paradigm_2nd_Control_Group,,
BI_C2_Digit,49.0,1.0,44,364.0,1.0,1.0,ABA,Raw_Data_III_Digit_Paradigm_2nd_Control_Group,,
BI_C2_Digit,49.0,1.0,45,894.0,1.0,2.0,CBA,Raw_Data_III_Digit_Paradigm_2nd_Control_Group,,
BI_C2_Digit,49.0,1.0,46,746.0,1.0,1.0,ABA,Raw_Data_III_Digit_Paradigm_2nd_Control_Group,,
BI_C2_Digit,49.0,1.0,47,500.0,1.0,2.0,ABA,Raw_Data_III_Digit_Paradigm_2nd_Control_Group,,
BI_C2_Digit,49.0,1.0,48,944.0,1.0,3.0,CBA,Raw_Data_III_Digit_Paradigm_2nd_Control_Group,,
BI_C2_Digit,49.0,1.0,49,555.0,1.0,2.0,ABA,Raw_Data_III_Digit_Paradigm_2nd_Control_Group,,
BI_C2_Digit,49.0,1.0,50,797.0,1.0,3.0,ABA,Raw_Data_III_Digit_Paradigm_2nd_Control_Group,,
BI_C2_Digit,49.0,1.0,51,468.0,1.0,1.0,CBA,Raw_Data_III_Digit_Paradigm_2nd_Control_Group,,
BI_C2_Digit,49.0,1.0,52,801.0,1.0,3.0,ABA,Raw_Data_III_Digit_Paradigm_2nd_Control_Group,,
BI_C2_Digit,49.0,1.0,53,1146.0,1.0,2.0,CBA,Raw_Data_III_Digit_Paradigm_2nd_Control_Group,,
BI_C2_Digit,49.0,1.0,54,500.0,1.0,1.0,CBA,Raw_Data_III_Digit_Paradigm_2nd_Control_Group,,
BI_C2_Digit,49.0,1.0,55,1216.0,1.0,2.0,ABA,Raw_Data_III_Digit_Paradigm_2nd_Control_Group,,
BI_C2_Digit,49.0,1.0,56,1160.0,1.0,1.0,ABA,Raw_Data_III_Digit_Paradigm_2nd_Control_Group,,
BI_C2_Digit,49.0,1.0,57,809.0,1.0,3.0,CBA,Raw_Data_III_Digit_Paradigm_2nd_Control_Group,,
BI_C2_Digit,49.0,1.0,58,512.0,1.0,1.0,ABA,Raw_Data_III_Digit_Paradigm_2nd_Control_Group,,
BI_C2_Digit,49.0,1.0,59,996.0,1.0,2.0,CBA,Raw_Data_III_Digit_Paradigm_2nd_Control_Group,,
BI_C2_Digit,49.0,1.0,60,1508.0,1.0,3.0,CBA,Raw_Data_III_Digit_Paradigm_2nd_Control_Group,,
BI_C2_Digit,49.0,1.0,61,936.0,1.0,1.0,CBA,Raw_Data_III_Digit_Paradigm_2nd_Control_Group,,
BI_C2_Digit,49.0,1.0,62,867.0,1.0,3.0,ABA,Raw_Data_III_Digit_Paradigm_2nd_Control_Group,,
BI_C2_Digit,49.0,1.0,63,376.0,1.0,1.0,ABA,Raw_Data_III_Digit_Paradigm_2nd_Control_Group,,
BI_C2_Digit,49.0,1.0,64,720.0,0.0,2.0,CBA,Raw_Data_III_Digit_Paradigm_2nd_Control_Group,,
BI_C2_Digit,49.0,1.0,65,623.0,1.0,3.0,CBA,Raw_Data_III_Digit_Paradigm_2nd_Control_Group,,
BI_C2_Digit,49.0,1.0,66,1462.0,1.0,1.0,CBA,Raw_Data_III_Digit_Paradigm_2nd_Control_Group,,
BI_C2_Digit,49.0,1.0,67,1924.0,0.0,3.0,ABA,Raw_Data_III_Digit_Paradigm_2nd_Control_Group,,
BI_C2_Digit,49.0,1.0,68,1340.0,1.0,2.0,CBA,Raw_Data_III_Digit_Paradigm_2nd_Control_Group,,
BI_C2_Digit,49.0,1.0,69,518.0,1.0,1.0,CBA,Raw_Data_III_Digit_Paradigm_2nd_Control_Group,,
BI_C2_Digit,49.0,1.0,70,1257.0,1.0,3.0,CBA,Raw_Data_III_Digit_Paradigm_2nd_Control_Group,,
